Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol,click.8.finalRow,click.8.finalCol,click.9.finalRow,click.9.finalCol,click.10.finalRow,click.10.finalCol,click.11.finalRow,click.11.finalCol,click.12.finalRow,click.12.finalCol,click.13.finalRow,click.13.finalCol,click.14.finalRow,click.14.finalCol,click.15.finalRow,click.15.finalCol,click.16.finalRow,click.16.finalCol,click.17.finalRow,click.17.finalCol,click.18.finalRow,click.18.finalCol,click.19.finalRow,click.19.finalCol,click.20.finalRow,click.20.finalCol,click.21.finalRow,click.21.finalCol,click.22.finalRow,click.22.finalCol,click.23.finalRow,click.23.finalCol,click.24.finalRow,click.24.finalCol,click.25.finalRow,click.25.finalCol,click.26.finalRow,click.26.finalCol,click.27.finalRow,click.27.finalCol
LF,D4S2,0,0,1,K,Male,0,2,26, VOLCANO leader,5,4,3,3,3,4,5,4,4,4,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,0,11,K,Male,1,1,26, TREE leader,4,0,5,5,4,5,4,4,4,3,4,2,4,1,4,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,1,9,K,Female,0,1,26, VOLCANO leader,7,5,3,3,4,4,5,5,6,5,7,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,1,10,K,Male,0,1,26, TREE leader,5,2,5,5,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,2,3,K,Male,1,0,32, VOLCANO leader,7,0,3,3,4,4,5,3,5,5,5,3,7,3,7,3,7,3,7,3,7,3,7,3,7,0,7,0,7,0,0,0,7,1,7,0,7,0,7,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,2,6,K,Male,1,0,20, TREE leader,6,7,5,5,5,5,4,4,3,4,2,3,5,5,5,5,6,7,7,4,5,4,5,4,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,3,2,K,Female,1,0,32, VOLCANO leader,7,0,3,3,4,2,4,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,3,8,K,Female,0,1,20, TREE leader,5,2,5,5,5,6,5,5,5,6,5,6,5,5,5,5,5,1,5,1,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,4,5,K,Male,1,0,26, TREE leader,3,1,5,5,4,5,4,2,4,2,4,2,4,2,3,2,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S2,0,4,7,K,Female,1,0,26, VOLCANO leader,7,4,3,3,6,5,4,4,4,4,7,4,4,4,5,0,5,4,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
